이름,일본어명,위도,경도,구,주소,우편번호,요리,가격,타베로그점수,리뷰수,백명점,전화,예약링크,예약파트너,공식사이트,타베로그,구글지도,미쉐린,인스펙터코멘트
Ginza HARU CHAN Ramen,銀座はるちゃんラーメン,35.67082,139.768831,주오구,"3-11-6 Ginza, Chuo-ku",104-0061,라멘,¥,3.65,712,,+81 3-6260-6088,,,,https://tabelog.com/tokyo/A1301/A130101/13299064/,https://www.google.com/maps/search/?api=1&query=Ginza%20HARU%20CHAN%20Ramen&query_place_id=ChIJJcvBZwCLGGARf0D_3U26Cws,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ginza-haru-chan-ramen,"The chef, known to all as Haru-chan, pours all her energies into her shio ramen. The clear broth of pork and dried sardines is poured to the rim of the bowl. The colours of green onion, nori and wheat bran ‘flowers’ floating in wisps of pork fat make a comforting sight. Noodles are pounded flat for a satisfyingly plump texture. Roasted pork fillet, simmered with the soup, brings the whole dish together. To stay close to the community it serves, the restaurant remains open even between lunch and dinner times."
GINZA KATSUKAMI II,ぎんざ かつかみ弐,35.670064,139.762822,주오구,"4F, Kojun Bldg, 6-8-7 Ginza, Chuo-ku",104-0061,돈카츠,¥¥,,,,+81 3-6264-6775,https://www.tablecheck.com/ja/shops/katsukami2/reserve?utm_source=michelin_guide,TableCheck,https://katsukami.com/ginza-katsukami_jp_02.html,,https://www.google.com/maps/search/?api=1&query=GINZA%20KATSUKAMI%20II&query_place_id=ChIJZUBXbgCLGGARoXdpk8uhDYc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ginza-katsukami-ii,"Service at this tonkatsu restaurant is prix fixe only. Along with the familiar fillet and pork loin cutlets, you’ll find rare cuts such as rump and round tip, fried one slice at a time. Several name-brand pork varieties are available to taste and compare, each one tender and succulent. A few unexpected entries, such as minced pork burgers, add whimsy into the mix. It’s a concept that makes sense: unique prix fixe menus of tonkatsu, each item served piping hot from the kitchen."
Hamacho Kaneko,浜町 かねこ,35.684005,139.788273,주오구,"3-7-3 Nihombashihamacho, Chuo-ku",103-0007,소바,¥,3.57,466,,+81 3-4291-3303,,,https://www.hamachokaneko.com/,https://tabelog.com/tokyo/A1302/A130204/13186028/,https://www.google.com/maps/search/?api=1&query=Hamacho%20Kaneko&query_place_id=ChIJdWW3d0aJGGARlixSShBWQyA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/hamacho-kaneko,"The chef loves the culture of soba-mae, which refers to enjoying sake and snacks before the soba arrives. A full range of drinking snacks are available to tempt you, including baked devil’s tongue coated with miso, and simmered beef sinew. Tempura varies with the seasons, ranging from shrimp and conger eel to edible wild plants, young sweetfish, mushroom and oyster. Soba is 100% buckwheat noodles, cut thin. Dipping sauces are varied as well, including sesame, grated yam and curry. Meoto, meaning ‘married couple’ is a popular dish combining soba with udon."
HOPPERS,ホッパーズ,35.681353,139.778125,주오구,"7-1 Nihombashikabutocho, Chuo-ku",103-0026,스리랑카,¥¥,3.74,985,アジア・エスニック TOKYO 2026,+81 3-6890-1547,https://www.tablecheck.com/shops/hoppers/reserve?utm_source=michelin_guide,TableCheck,https://hoppers.jp/,https://tabelog.com/tokyo/A1302/A130203/13266235/,https://www.google.com/maps/search/?api=1&query=HOPPERS&query_place_id=ChIJXzGOzuWJGGARVqPVm-bGqLA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/hoppers-1206470,"Love of spices inspires the chef of this house of Sri Lankan cuisine. When he says the national dish of Sri Lanka is ‘rice and curry’, he doesn’t just mean rice with curry. The phrase refers specifically to a set menu of several types of curry, side dishes, and rice. In keeping with tradition, the curry is made with Maldive fish, a type of shaved bonito. Distinctively, the rice is a mixture of basmati rice and Japanese rice."
Katsuyoshi,かつ好,35.686215,139.781217,주오구,"3-4-11 Nihombashiningyocho, Chuo-ku",103-0013,돈카츠,¥,3.74,1085,とんかつ 2026,+81 3-6231-0641,,,https://www.katuyoshi.com/,https://tabelog.com/tokyo/A1302/A130204/13204633/,https://www.google.com/maps/search/?api=1&query=Katsuyoshi&query_place_id=ChIJkXM2vVGJGGARIbsJOymj19U,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katsuyoshi,"You’ll find Katsuyoshi in a back-alley of Ningyocho. The interior of the shop, a refurbished traditional home, uses recycled wood to convey a retro feel. In the kitchen, you’ll see two copper pots. When deep-frying pork cutlets, the owner-chef uses hotter oil for some dishes and cooler oil for others. Fried seafood morsels such as scallop and tiger prawn are popular. If you get a seat at the counter, you can watch the chef’s work, which starts with preparing the meat."
LA BETTOLA da Ochiai,ラ・ベットラ・ダ・オチアイ,35.672764,139.771142,주오구,"1-21-2 Ginza, Chuo-ku",104-0061,이탈리안,¥¥,3.68,1743,,+81 3-3567-5656,,,https://www.la-bettola.co.jp,https://tabelog.com/tokyo/A1313/A131301/13002504/,https://www.google.com/maps/search/?api=1&query=LA%20BETTOLA%20da%20Ochiai&query_place_id=ChIJEwV9u-GLGGARr1t6pIavjsY,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/la-bettola-da-ochiai,"‘La Bettola’ is Italian for ‘the dining hall’. With its casual atmosphere and fare that is good value for money, this trattoria draws throngs of guests day after day. The menu is crammed with regional cuisines and seasonal dishes. The prix fixe selection allows a choice of items—you’ll find it hard to make up your mind. For the appetiser, we recommend the combination platter, generous in both portions and variety. Sea urchin spaghetti is a perennial favourite."
Le Nougat,ヌガ,35.669271,139.764924,주오구,"6-12-2 Ginza, Chuo-ku",104-0061,프렌치,¥¥,3.73,1004,,+81 3-6254-5105,https://www.tablecheck.com/shops/le-nougat/reserve?utm_source=michelin_guide,TableCheck,https://www.lenougat.jp/,https://tabelog.com/tokyo/A1301/A130101/13048464/,https://www.google.com/maps/search/?api=1&query=Le%20Nougat&query_place_id=ChIJH_2Bq-eLGGARYoUjkDDPqEQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/le-nougat,"The restaurant’s name is inspired by a chanson song. Inside, red bench seating, French movie posters and chanson playing in the background all recreate the feel of a Paris bistro. The menu is an assemblage of French village fare. Each plateful serves two, encouraging sharing. With an extensive list of wines from every region of France, many available by the glass, you can delight in the experience of pairing your dish with wines of the same region."
Les Copains de DOMINIQUE BOUCHET,レ・コパン ドゥ ドミニク・ブシェ,35.671997,139.761755,주오구,"B1F, 5-1-8 Ginza, Chuo-ku",104-0061,프렌치,¥¥,3.52,478,,+81 3-6264-6566,https://omakaseje.com/r/fs630636?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://www.lescopains.jp/,https://tabelog.com/tokyo/A1301/A130101/13197223/,https://www.google.com/maps/search/?api=1&query=Les%20Copains%20de%20DOMINIQUE%20BOUCHET&query_place_id=ChIJVVXpbu-LGGARahN9fPFbL3I,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/les-copains-de-dominique-bouchet,A bistro by Dominique Bouchet. The theme is ‘bistronomy’: a bistro with added gastronomic enhancements. Favourites such as pâté en croûte and steak frites are everyday standards in France. Lobster macaroni is a Bouchet speciality that captures the hearts of Parisian epicures. Savour the profundity of French cuisine from popular fare to modern haute cuisine.
Osteria da K. [káppa],オステリア ダ カッパ,35.668851,139.761527,주오구,"5F, 8-7-2 Ginza, Chuo-ku",104-0061,이탈리안,¥¥,,,,+81 3-6274-6620,,,https://ginzakappa.com/,,https://www.google.com/maps/search/?api=1&query=Osteria%20da%20K.%20%5Bk%C3%A1ppa%5D&query_place_id=ChIJheKpk-iLGGAR7fU3Hz2sqtM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/osteria-da-k-kappa,"An osteria presented by a sushi shop. After apprenticing in Italy, the chef helped out at a sushi restaurant before taking charge here. Seafood, procured from the chef’s personal sources, catches the eye. Cut ends of abalone and fish make a seafood ragù for pasta, born from meals prepared for employees. Acqua pazza is enhanced with kombu water for an even more delicious dish. Cuisine that brings out the best in the ingredients, backed by the skills of Italy and Japan."
Yaesu Unagi Hashimoto,八重洲 鰻 はし本,35.681677,139.771301,주오구,"1-5-10 Yaesu, Chuo-ku",103-0028,장어,¥¥,3.93,297,うなぎ 2026,+81 50-1808-6166,https://www.tablecheck.com/shops/unagihashimoto/reserve?utm_source=michelin_guide,TableCheck,https://www.unahashi.com/,https://tabelog.com/tokyo/A1302/A130202/13303042/,https://www.google.com/maps/search/?api=1&query=Yaesu%20Unagi%20Hashimoto&query_place_id=ChIJGTDVuv2LGGARAbOtAaxjqfo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yaesu-unagi-hashimoto,"An old wooden sign catches the eye: ‘Unagi – eat this, and there is no need for medicine.’ This reflects the founder’s belief in eel as a nourishing food. The fourth-generation chef honours tradition while adapting to the present. The Unatsugu-ju carries the spirit of passing eel culture to the future, with efforts to release juvenile eels into the sea to replenish wild stocks. In step with the times, a counter seat offers a view of the craftsmen at work."
YAMATO,ヤマト,35.688123,139.784335,주오구,"16-3 Nihombashitomizawacho, Chuo-ku",103-0006,이자카야,¥¥,3.6,284,,+81 3-3661-8010,,,https://www.8010tokyo.com/,https://tabelog.com/tokyo/A1302/A130204/13040338/,https://www.google.com/maps/search/?api=1&query=YAMATO&query_place_id=ChIJyQ9KbU6JGGARoM7rcm9P_xM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yamato-1194199,"Here the speciality is chargrilled vegetables and seafood. Guests gather around the hearth and charcoal brazier to enjoy the rising aroma of the seafood and vegetables while savouring sake. Among the favourites are the large clams and dried, salted ichiyaboshi fish. Seasonal delicacies like bamboo shoots and mushrooms are also available. The proprietress expertly handles the grilling duties, carefully tending to the charcoal fire. ‘Yamato’ is the name of her family's river fish shop, serving as the inspiration for the owner's charcoal cooking."
Ittoan,一東菴,35.763091,139.728912,기타구,"2-16-10 Higashijujo, Kita-ku",114-0001,소바,¥,3.71,460,そば EAST 2025,+81 3-6903-3833,,,,https://tabelog.com/tokyo/A1323/A132304/13143622/,https://www.google.com/maps/search/?api=1&query=Ittoan&query_place_id=ChIJPcnhyPSSGGAROJw86Rs4VQY,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ittoan,"The chef helps out on farms all over Japan, forming bonds of trust with farmers. If you’re interested in the differences among various kinds of soba, we recommend the ‘Sanshu Seiro’, three kinds of soba served on a wickerwork tray. He grinds and kneads each soba differently according to type and region of origin, so the character of each shines through. Sometimes, the chef says, he mixes coarse-ground and fine-ground soba from the same region. His tireless curiosity yields a never-ending variety of flavours."
TRATTORIA BUCA'MASSIMO,トラットリア ブカ・マッシモ,35.670349,139.798513,고토구,"1-24-11 Tomioka, Koto-ku",135-0047,이탈리안,¥¥,3.65,293,,+81 3-5809-9022,https://www.tablecheck.com/shops/bucamassimo/reserve?utm_source=michelin_guide,TableCheck,https://bucamassimo.jp/,https://tabelog.com/tokyo/A1313/A131303/13194455/,https://www.google.com/maps/search/?api=1&query=TRATTORIA%20BUCA'MASSIMO&query_place_id=ChIJVyzACg6JGGARSA1b28E9zPM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/trattoria-buca-massimo,"‘A backstreet Italian eatery’ is how this trattoria bills itself. The chef professes his love of Tuscany through his cooking, which includes crostini of chicken-liver paste; beef tripe simmered in the Florentine style; Pici, akin to a thick spaghetti, in tomato ragú is a Sienese primo piatto. The meat elegantly grilled over charcoal flame is best enjoyed with a bottle of red wine."
AUDACE,アウダチェ,35.64477,139.697899,메구로구,"3-8-1 Kamimeguro, Meguro-ku",153-0051,이탈리안,¥¥,3.51,251,,+81 3-6451-2146,https://www.tablecheck.com/shops/audace/reserve?utm_source=michelin_guide,TableCheck,https://audace.jp/,https://tabelog.com/tokyo/A1317/A131701/13241829/,https://www.google.com/maps/search/?api=1&query=AUDACE&query_place_id=ChIJ3a4raTaLGGARPjGP4CRC3zo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/audace,Guests gather around one large table and the kitchen and dining room meld into one as the sounds and aromas of cooking drift on the air. The menu features hometown cooking with touches of originality. Veal in tuna sauce is enlivened with saffron; gorgonzola and green peppers are added to pasta with tomato sauce. Mains such as beef and pork are grilled simply over charcoal.
Le Monde Gourmand,ル モンド グルマン,35.608524,139.672178,메구로구,"2-17-15 Midorigaoka, Meguro-ku",152-0034,프렌치,¥¥,3.72,467,,+81 3-5726-8657,https://omakaseje.com/r/ok456758?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://lemondegourmand.com/,https://tabelog.com/tokyo/A1317/A131703/13187979/,https://www.google.com/maps/search/?api=1&query=Le%20Monde%20Gourmand&query_place_id=ChIJAQAHuSH1GGARoxen7xHlyBk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/le-monde-gourmand,"The chef is experienced in the gastronomic ways of both Tokyo and Paris. Intent on reaching new heights while broadening the base of French cuisine, he opened a bistro. He showcases his talents with items baked in pie pastry. Beef simmered in red wine and potato au gratin highlight the appeal of regional cuisines. ‘Le Monde Gourmand’ translates as ‘the world of the food lover’, and as the name suggests, this is the place to sample the world of fine dining in a casual setting."
Ramen Break Beats,ラーメン ブレイクビーツ,35.633515,139.698778,메구로구,"4-21-19 Meguro, Meguro-ku",153-0063,라멘,¥,3.84,1518,ラーメン TOKYO 2025,,https://www.tablecheck.com/shops/ramenbreakbeats/reserve/login_required?utm_source=michelin_guide,TableCheck,https://ramenbreakbeats.wixsite.com/my-site-1,https://tabelog.com/tokyo/A1317/A131701/13267329/,https://www.google.com/maps/search/?api=1&query=Ramen%20Break%20Beats&query_place_id=ChIJ5chAYKCLGGAREljW97UWARM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ramen-break-beats,"The chef was a DJ in a former life, and the technique he applied in that calling, break beats, informs both the name of the restaurant and the music piped through the dining room. The signature dish is soy-sauce ramen, which owes its beautiful presentation and clear soup to careful preparation of the noodles. The purity of the broth delights the palate from the first mouthful. With rhythmic tempo, you’ll reel in the noodles and drink every drop of soup before you know it. A beat-driven bowl that hit big in Meguro."
Teuchi Asama,手打ち あさま,35.64274,139.698022,메구로구,"2-13-7 Kamimeguro, Meguro-ku",153-0051,라멘,¥,3.68,494,,,,,,https://tabelog.com/tokyo/A1317/A131701/13302326/,https://www.google.com/maps/search/?api=1&query=Teuchi%20Asama&query_place_id=ChIJG2bMXQCLGGARue7ZjzKbmgA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/teuchi-asama,"The inclusion of ‘teuchi’ in the shop’s name reflects the distinctive quality of its handmade noodles—flat and springy. Dough is prepared daily and rested overnight, capturing the full flavour of the wheat. Noodles are cut when orders are placed, then kneaded to vary the texture. Mellow, flavoursome soup combines broth of chicken and seafood with ‘kaeshi’, a blend of soy sauce, sugar and mirin. Time and hard work deepen the flavour of each bowlful."
YAKUMO,八雲,35.65014,139.686847,메구로구,"3-6-15 Higashiyama, Meguro-ku",153-0043,라멘,¥,3.78,2338,,+81 3-6303-3663,,,,https://tabelog.com/tokyo/A1317/A131705/13204333/,https://www.google.com/maps/search/?api=1&query=YAKUMO&query_place_id=ChIJGTrknqz0GGARxnC8Ps-HaWc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakumo,"Customers flock to Yakumo for its famous wonton ramen. Two types of wonton, one with pork infused with the tang of ginger and the other with shrimp cooked to delightful texture, each play their part in the dish’s popularity. To enjoy both, order the special ‘Tokusei’ ramen. The choice of soups is ‘White dashi’ made with white soy sauce, ‘Black dashi’ using rich, dark soy sauce, and ‘Mix’, a mixture of the two. And choose from thin noodles or flat. This flexibility to tailor your order is a special pleasure of Yakumo."
AlCeppo,アルチェッポ,35.644588,139.731574,미나토구,"2F, 1-25-32 Shirokane, Minato-ku",108-0072,이탈리안,¥¥,3.31,50,,+81 3-5424-1331,,,,https://tabelog.com/tokyo/A1316/A131602/13258692/,https://www.google.com/maps/search/?api=1&query=AlCeppo&query_place_id=ChIJy84eyKmLGGARVC-Np75-VsQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/alceppo,"Italy and Japan have much in common: a geography elongated north to south, for example, and a balance of four seasons. The features of both countries inform the menu of AlCeppo. From his experience touring the length and breadth of Italy, the chef expresses the local cuisine of each region through seasonal ingredients. From spring to summer, the fare of southern Italy is offered, typically focusing on fish and vegetables dressed in olive oil. From autumn to winter, northern cooking, such as mushrooms and stewed game, becomes the focus. A joy to visit in every season."
IRUCA TOKYO,入鹿 TOKYO,35.664771,139.731691,미나토구,"4-12-12 Roppongi, Minato-ku",106-0032,라멘,¥,3.88,900,ラーメン TOKYO 2025,,,,,https://tabelog.com/tokyo/A1328/A132802/13234223/,https://www.google.com/maps/search/?api=1&query=IRUCA%20TOKYO&query_place_id=ChIJ84McqUSLGGAR8KhSukUSKIs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/iruca-tokyo,"The chef displays his originality in each bowl as he pursues a unique interpretation of ramen. Broths of clam, spiny lobster, free-range chicken and beef combine to create a soup of satisfying depth. Paste of porcini mushrooms and truffles switches up the flavour of soy-sauce ramen. Salt ramen is infused with yuzu flavoured butter to impart a creamy fragrance. ‘Iruca’ comes from the Japanese for ‘dolphin’, a symbol of peace and a message of friendship to spread across the oceans."
L'AS,ラス,35.666014,139.717125,미나토구,"4-16-3 Minamiaoyama, Minato-ku",107-0062,프렌치,¥¥,,3,,+81 80-3310-4058,https://www.tablecheck.com/shops/las-minamiaoyama/reserve?utm_source=michelin_guide,TableCheck,https://las-minamiaoyama.com/,https://tabelog.com/nagano/A2004/A200404/20021639/,https://www.google.com/maps/search/?api=1&query=L'AS&query_place_id=ChIJW_jeBGKLGGARH3w_v_2Mz_A,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-as,"Simple yet refined fare, enjoyed in a casual setting. Keen to make French cuisine familiar to his clientele, the chef offers great taste at a reasonable price. Guests can enjoy their meals as if they were gathered around their own dinner tables. The chef changes the menu monthly, greeting diners with something different each time they visit. Cooks also bring dishes to tables for a seamlessly integrated dining experience."
